tool,specie,mrd,depth,batch,precision,recall,f1score
NanoMGT,staph,0.01,170,5,0.31623529411764706,0.8,0.449939393939394
NanoMGT,staph,0.01,170,6,0.33472222222222225,0.8500000000000001,0.4783653846153846
NanoMGT,staph,0.01,170,7,0.32918613007545816,0.8500000000000001,0.472849614153962
NanoMGT,staph,0.01,170,8,0.32722179781003313,0.875,0.4755440930274648
NanoMGT,staph,0.01,170,9,0.3207045291157441,0.9375,0.4770708283313325
NanoMGT,staph,0.01,170,10,0.32626995645863566,0.95,0.48477034649476225
NanoMGT,ecoli,0.02,220,1,0.050724637681159424,0.05691056910569106,0.05363984674329502
NanoMGT,ecoli,0.02,220,2,0.13290043290043288,0.16260162601626016,0.14432367149758452
NanoMGT,ecoli,0.02,220,3,0.3682900432900433,0.4065040650406504,0.36527329678014603
NanoMGT,ecoli,0.02,220,4,0.46179084073820914,0.5447154471544716,0.48061421745632277
NanoMGT,ecoli,0.02,220,5,0.5217054263565891,0.6747967479674797,0.5747484178856728
NanoMGT,ecoli,0.02,220,6,0.5495497278574963,0.7317073170731708,0.6184380753346271
NanoMGT,ecoli,0.02,220,7,0.6086078173034695,0.7723577235772358,0.673390540148406
NanoMGT,ecoli,0.02,220,8,0.6028571428571429,0.8211382113821138,0.6907258907258909
NanoMGT,ecoli,0.02,220,9,0.6259398790076753,0.8780487804878049,0.7270549755517379
NanoMGT,ecoli,0.02,220,10,0.6528396089036822,0.9512195121951219,0.7725030921459494
NanoMGT,klebsiella,0.02,220,1,0.3125,0.06666666666666667,0.10230179028132994
NanoMGT,klebsiella,0.02,220,2,0.5151515151515151,0.2,0.2649572649572649
NanoMGT,klebsiella,0.02,220,3,0.5818181818181818,0.26666666666666666,0.3538461538461538
NanoMGT,klebsiella,0.02,220,4,0.6103896103896104,0.33333333333333337,0.42657342657342656
NanoMGT,klebsiella,0.02,220,5,0.7166666666666667,0.5666666666666667,0.6266666666666667
NanoMGT,klebsiella,0.02,220,6,0.7478070175438596,0.7333333333333333,0.7309368191721133
NanoMGT,klebsiella,0.02,220,7,0.7818627450980392,0.7333333333333333,0.7511574074074074
NanoMGT,klebsiella,0.02,220,8,0.8144796380090498,0.8,0.8035714285714286
NanoMGT,klebsiella,0.02,220,9,0.8172268907563025,0.8333333333333334,0.8232758620689655
NanoMGT,klebsiella,0.02,220,10,0.8253968253968254,0.8666666666666667,0.8422152560083593
NanoMGT,salmonella,0.02,220,1,0.13865440115440117,0.23703703703703705,0.17462468409003065
NanoMGT,salmonella,0.02,220,2,0.23460841368959118,0.4074074074074074,0.29681676087595754
NanoMGT,salmonella,0.02,220,3,0.3246657754010695,0.5851851851851851,0.4166760263490585
NanoMGT,salmonella,0.02,220,4,0.3546875928898401,0.6666666666666666,0.46186779468198463
NanoMGT,salmonella,0.02,220,5,0.3876714065813065,0.7407407407407408,0.508373111010317
NanoMGT,salmonella,0.02,220,6,0.42548615405758267,0.837037037037037,0.5630365586649739
NanoMGT,salmonella,0.02,220,7,0.4541130388952452,0.8814814814814814,0.5985210284938721
NanoMGT,salmonella,0.02,220,8,0.4600410548676646,0.8962962962962963,0.6076490906511433
NanoMGT,salmonella,0.02,220,9,0.47633921134670754,0.9259259259259259,0.6288568934978712
NanoMGT,salmonella,0.02,220,10,0.48949019916761854,0.9555555555555556,0.6468050988511346
NanoMGT,campylobacter,0.02,220,1,0.29554865424430643,0.09114583333333333,0.13807839669908636
NanoMGT,campylobacter,0.02,220,2,0.5551378446115288,0.2421875,0.33130501805200596
NanoMGT,campylobacter,0.02,220,3,0.644964155599953,0.3333333333333333,0.4303022234056717
NanoMGT,campylobacter,0.02,220,4,0.7269449715370019,0.5078125,0.5856935155568479
NanoMGT,campylobacter,0.02,220,5,0.7831516608016479,0.640625,0.6962298980559113
NanoMGT,campylobacter,0.02,220,6,0.8107890499194848,0.7213541666666666,0.7549378032236556
NanoMGT,campylobacter,0.02,220,7,0.8278409090909091,0.8177083333333333,0.8175750220653133
NanoMGT,campylobacter,0.02,220,8,0.8389185977421272,0.8984375,0.865808672323355
NanoMGT,campylobacter,0.02,220,9,0.8379592384017163,0.9244791666666667,0.8781376518218623
NanoMGT,campylobacter,0.02,220,10,0.8404320401662342,0.953125,0.8926711076979861
NanoMGT,ecoli,0.02,120,1,0.03287288122498803,0.06504065040650406,0.042565329407434675
NanoMGT,ecoli,0.02,120,2,0.12795563925507428,0.2682926829268293,0.16803266026701977
NanoMGT,ecoli,0.02,120,3,0.22256962190221366,0.4471544715447155,0.29079287165643836
NanoMGT,ecoli,0.02,120,4,0.30438596491228065,0.6666666666666666,0.41290293079442747
NanoMGT,ecoli,0.02,120,5,0.3332867991958901,0.7154471544715447,0.4490039695546087
NanoMGT,ecoli,0.02,120,6,0.3714019607843137,0.8536585365853658,0.5134851356099986
NanoMGT,ecoli,0.02,120,7,0.3928220255653884,0.8861788617886179,0.5421645021645022
NanoMGT,ecoli,0.02,120,8,0.3968412109978375,0.9105691056910569,0.5475743180635911
NanoMGT,ecoli,0.02,120,9,0.37878787878787884,0.9186991869918698,0.5325100442251746
NanoMGT,ecoli,0.02,120,10,0.39795995917746946,0.9349593495934959,0.5539694989106753
NanoMGT,salmonella,0.02,120,1,0.08984323336056327,0.13333333333333333,0.1047079964061096
NanoMGT,salmonella,0.02,120,2,0.23618693134822166,0.5111111111111111,0.319115381179171
NanoMGT,salmonella,0.02,120,3,0.2900880546865949,0.6962962962962963,0.4049252985003872
NanoMGT,salmonella,0.02,120,4,0.32576312576312577,0.7851851851851852,0.4557071102981738
NanoMGT,salmonella,0.02,120,5,0.3477043864140638,0.8814814814814814,0.4948088127575307
NanoMGT,salmonella,0.02,120,6,0.3480464194749909,0.9629629629629629,0.507533935215558
NanoMGT,salmonella,0.02,120,7,0.3486863711001642,0.9481481481481482,0.5071133859445204
