tool,specie,sequencing_id,mrd,depth,batch,precision,recall,f1score
Confindr,Escherichia coli,SRR26036455,0.03,220,10,0.5606060606060606,0.902439024390244,0.6915887850467289
Confindr,Escherichia coli,SRR26036455,0.03,220,1,0.0,0.0,0.0
Confindr,Escherichia coli,SRR26036455,0.03,220,2,0.0416666666666666,0.024390243902439,0.0307692307692307
Confindr,Escherichia coli,SRR26036455,0.03,220,3,0.3243243243243243,0.2926829268292683,0.3076923076923076
Confindr,Escherichia coli,SRR26036455,0.03,220,4,0.4285714285714285,0.4390243902439024,0.4337349397590361
Confindr,Escherichia coli,SRR26036455,0.03,220,5,0.56,0.6829268292682927,0.6153846153846154
Confindr,Escherichia coli,SRR26036455,0.03,220,6,0.5714285714285714,0.7804878048780488,0.6597938144329897
Confindr,Escherichia coli,SRR26036455,0.03,220,7,0.5614035087719298,0.7804878048780488,0.653061224489796
Confindr,Escherichia coli,SRR26036455,0.03,220,8,0.5901639344262295,0.8780487804878049,0.7058823529411764
Confindr,Escherichia coli,SRR26036455,0.03,220,9,0.6166666666666667,0.902439024390244,0.7326732673267328
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,10,0.6666666666666666,0.9,0.7659574468085106
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,1,0.0,0.0,0.0
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,2,0.0,0.0,0.0
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,3,0.1666666666666666,0.075,0.1034482758620689
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,4,0.2727272727272727,0.15,0.1935483870967741
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,5,0.5555555555555556,0.5,0.5263157894736842
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,6,0.6470588235294118,0.825,0.7252747252747253
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,7,0.6470588235294118,0.825,0.7252747252747253
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,8,0.6538461538461539,0.85,0.7391304347826088
Confindr,Staphylococcus aureus,ERR8958843,0.04,220,9,0.660377358490566,0.875,0.7526881720430108
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,10,0.9230769230769232,0.9,0.9113924050632912
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,1,1.0,0.05,0.0952380952380952
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,2,1.0,0.125,0.2222222222222222
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,3,0.9444444444444444,0.425,0.5862068965517241
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,4,0.9629629629629628,0.65,0.7761194029850746
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,5,0.935483870967742,0.725,0.8169014084507041
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,6,0.9375,0.75,0.8333333333333334
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,7,0.9230769230769232,0.9,0.9113924050632912
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,8,0.9230769230769232,0.9,0.9113924050632912
Confindr,Staphylococcus aureus,SRR28370694,0.04,220,9,0.9230769230769232,0.9,0.9113924050632912
Confindr,Salmonella enterica,SRR27136088,0.04,220,10,0.5466666666666666,0.9111111111111112,0.6833333333333332
Confindr,Salmonella enterica,SRR27136088,0.04,220,1,0.0277777777777777,0.0222222222222222,0.0246913580246913
Confindr,Salmonella enterica,SRR27136088,0.04,220,2,0.1632653061224489,0.1777777777777777,0.1702127659574468
Confindr,Salmonella enterica,SRR27136088,0.04,220,3,0.2962962962962963,0.3555555555555555,0.3232323232323232
Confindr,Salmonella enterica,SRR27136088,0.04,220,4,0.3833333333333333,0.5111111111111111,0.4380952380952381
Confindr,Salmonella enterica,SRR27136088,0.04,220,5,0.4927536231884058,0.7555555555555555,0.5964912280701755
Confindr,Salmonella enterica,SRR27136088,0.04,220,6,0.5070422535211268,0.8,0.6206896551724138
Confindr,Salmonella enterica,SRR27136088,0.04,220,7,0.5277777777777778,0.8444444444444444,0.6495726495726496
Confindr,Salmonella enterica,SRR27136088,0.04,220,8,0.5466666666666666,0.9111111111111112,0.6833333333333332
Confindr,Salmonella enterica,SRR27136088,0.04,220,9,0.5540540540540541,0.9111111111111112,0.6890756302521008
Confindr,Salmonella enterica,SRR27755678,0.04,220,10,0.7884615384615384,0.9111111111111112,0.845360824742268
Confindr,Salmonella enterica,SRR27755678,0.04,220,1,0.3,0.0666666666666666,0.1090909090909091
Confindr,Salmonella enterica,SRR27755678,0.04,220,2,0.7666666666666667,0.5111111111111111,0.6133333333333334
Confindr,Salmonella enterica,SRR27755678,0.04,220,3,0.8333333333333334,0.6666666666666666,0.7407407407407408
Confindr,Salmonella enterica,SRR27755678,0.04,220,4,0.85,0.7555555555555555,0.7999999999999998
Confindr,Salmonella enterica,SRR27755678,0.04,220,5,0.8367346938775511,0.9111111111111112,0.8723404255319148
Confindr,Salmonella enterica,SRR27755678,0.04,220,6,0.82,0.9111111111111112,0.8631578947368421
Confindr,Salmonella enterica,SRR27755678,0.04,220,7,0.82,0.9111111111111112,0.8631578947368421
Confindr,Salmonella enterica,SRR27755678,0.04,220,8,0.82,0.9111111111111112,0.8631578947368421
Confindr,Salmonella enterica,SRR27755678,0.04,220,9,0.7884615384615384,0.9111111111111112,0.845360824742268
Confindr,Salmonella enterica,SRR28399428,0.04,220,10,0.5394736842105263,0.9111111111111112,0.6776859504132231
Confindr,Salmonella enterica,SRR28399428,0.04,220,1,0.0,0.0,0.0
Confindr,Salmonella enterica,SRR28399428,0.04,220,2,0.081081081081081,0.0666666666666666,0.073170731707317
Confindr,Salmonella enterica,SRR28399428,0.04,220,3,0.3333333333333333,0.3777777777777777,0.3541666666666667
Confindr,Salmonella enterica,SRR28399428,0.04,220,4,0.4166666666666667,0.5555555555555556,0.4761904761904762
Confindr,Salmonella enterica,SRR28399428,0.04,220,5,0.4571428571428571,0.7111111111111111,0.5565217391304348
Confindr,Salmonella enterica,SRR28399428,0.04,220,6,0.5211267605633803,0.8222222222222222,0.6379310344827586
Confindr,Salmonella enterica,SRR28399428,0.04,220,7,0.5416666666666666,0.8666666666666667,0.6666666666666667
Confindr,Salmonella enterica,SRR28399428,0.04,220,8,0.5555555555555556,0.8888888888888888,0.6837606837606838
Confindr,Salmonella enterica,SRR28399428,0.04,220,9,0.5394736842105263,0.9111111111111112,0.6776859504132231
Confindr,Escherichia coli,ERR12533301,0.04,220,10,0.5352112676056338,0.926829268292683,0.6785714285714285
Confindr,Escherichia coli,ERR12533301,0.04,220,1,0.0857142857142857,0.073170731707317,0.0789473684210526
Confindr,Escherichia coli,ERR12533301,0.04,220,2,0.4561403508771929,0.6341463414634146,0.5306122448979592
Confindr,Escherichia coli,ERR12533301,0.04,220,3,0.5230769230769231,0.8292682926829268,0.6415094339622641
Confindr,Escherichia coli,ERR12533301,0.04,220,4,0.5294117647058824,0.8780487804878049,0.6605504587155964
Confindr,Escherichia coli,ERR12533301,0.04,220,5,0.5285714285714286,0.902439024390244,0.6666666666666666
Confindr,Escherichia coli,ERR12533301,0.04,220,6,0.5362318840579711,0.902439024390244,0.6727272727272728
Confindr,Escherichia coli,ERR12533301,0.04,220,7,0.5362318840579711,0.902439024390244,0.6727272727272728
Confindr,Escherichia coli,ERR12533301,0.04,220,8,0.5352112676056338,0.926829268292683,0.6785714285714285
Confindr,Escherichia coli,ERR12533301,0.04,220,9,0.5352112676056338,0.926829268292683,0.6785714285714285
Confindr,Escherichia coli,SRR25689478,0.04,220,10,0.6851851851851852,0.902439024390244,0.7789473684210526
Confindr,Escherichia coli,SRR25689478,0.04,220,1,0.0,0.0,0.0
Confindr,Escherichia coli,SRR25689478,0.04,220,2,0.0,0.0,0.0
Confindr,Escherichia coli,SRR25689478,0.04,220,3,0.2608695652173913,0.1463414634146341,0.1875
Confindr,Escherichia coli,SRR25689478,0.04,220,4,0.4,0.2926829268292683,0.3380281690140845
Confindr,Escherichia coli,SRR25689478,0.04,220,5,0.5609756097560976,0.5609756097560976,0.5609756097560976
Confindr,Escherichia coli,SRR25689478,0.04,220,6,0.6363636363636364,0.6829268292682927,0.6588235294117647
Confindr,Escherichia coli,SRR25689478,0.04,220,7,0.6363636363636364,0.6829268292682927,0.6588235294117647
Confindr,Escherichia coli,SRR25689478,0.04,220,8,0.6956521739130435,0.7804878048780488,0.7356321839080461
Confindr,Escherichia coli,SRR25689478,0.04,220,9,0.7,0.8536585365853658,0.7692307692307692
