tool,specie,mrd,depth,batch,precision,recall,f1score
Confindr,campylobacter,0.02,170,7,0.5666666666666667,0.8046875,0.6636868631129751
Confindr,campylobacter,0.02,170,8,0.5699750830564785,0.8072916666666666,0.66667434999078
Confindr,campylobacter,0.02,170,9,0.5687649402390438,0.8098958333333333,0.6669603039145515
Confindr,campylobacter,0.02,170,10,0.5718243243243244,0.8072916666666666,0.6683016838513464
Confindr,campylobacter,0.02,220,1,0.1647979691136027,0.11458333333333334,0.134260106091092
Confindr,campylobacter,0.02,220,2,0.3792383256993057,0.3619791666666667,0.3697527635387243
Confindr,campylobacter,0.02,220,3,0.4801374014952515,0.5494791666666667,0.5113080649095703
Confindr,campylobacter,0.02,220,4,0.5321953949472338,0.6875,0.5994754493956932
Confindr,campylobacter,0.02,220,5,0.5645782788639931,0.7734375,0.6517622052219871
Confindr,campylobacter,0.02,220,6,0.5758265928764013,0.7916666666666666,0.6654504697858539
Confindr,campylobacter,0.02,220,7,0.5830518018018018,0.8046875,0.6743700667880996
Confindr,campylobacter,0.02,220,8,0.5855429292929293,0.8098958333333333,0.6778147012042718
Confindr,campylobacter,0.02,220,9,0.5850902769989907,0.8098958333333333,0.6776397985840306
Confindr,campylobacter,0.02,220,10,0.5895739048757578,0.8098958333333333,0.6806164246226117
Confindr,campylobacter,0.03,120,1,0.0787878787878788,0.03385416666666667,0.046824837522511945
Confindr,campylobacter,0.03,120,2,0.3036350677120456,0.1640625,0.2120749977572441
Confindr,campylobacter,0.03,120,3,0.520929079931513,0.40104166666666663,0.45241529716827233
Confindr,campylobacter,0.03,120,4,0.5799174236168456,0.5260416666666667,0.551662871859953
Confindr,campylobacter,0.03,120,5,0.6196209587513934,0.609375,0.6143273407004233
Confindr,campylobacter,0.03,120,6,0.6472816399286987,0.6744791666666667,0.6597470122613689
Confindr,campylobacter,0.03,120,7,0.6688444983997351,0.7395833333333333,0.7021913747781484
Confindr,campylobacter,0.03,120,8,0.6873044447301873,0.7708333333333333,0.7258643242010776
Confindr,campylobacter,0.03,120,9,0.6937168435013263,0.7916666666666666,0.7389150943396225
Confindr,campylobacter,0.03,120,10,0.694965939502068,0.8020833333333333,0.7440103013494301
Confindr,campylobacter,0.03,170,1,0.08409090909090909,0.03125,0.04523809523809524
Confindr,campylobacter,0.03,170,2,0.32159377628259045,0.1640625,0.21582614465826147
Confindr,campylobacter,0.03,170,3,0.4905867029779172,0.3307291666666667,0.39505184470701715
Confindr,campylobacter,0.03,170,4,0.5916330645161291,0.484375,0.5326254257270107
Confindr,campylobacter,0.03,170,5,0.6492119335772587,0.6380208333333334,0.6435577228584455
Confindr,campylobacter,0.03,170,6,0.6819898009218397,0.7161458333333334,0.6985826568741142
Confindr,campylobacter,0.03,170,7,0.6986765831783879,0.7760416666666666,0.7350065248399138
Confindr,campylobacter,0.03,170,8,0.7069376693766938,0.7890625,0.7453442787331848
Confindr,campylobacter,0.03,170,9,0.7157680787334189,0.8046875,0.7570948782535684
Confindr,campylobacter,0.03,170,10,0.7106668062388779,0.8072916666666666,0.755134093939843
Confindr,campylobacter,0.03,220,1,0.07362155388471178,0.026041666666666668,0.03819626331412607
Confindr,campylobacter,0.03,220,2,0.26907073509015256,0.11979166666666666,0.1644714710829344
Confindr,campylobacter,0.03,220,3,0.4452877925363694,0.2578125,0.325841729096702
Confindr,campylobacter,0.03,220,4,0.6166666666666667,0.5208333333333334,0.5646804176215942
Confindr,campylobacter,0.03,220,5,0.6694275169513346,0.6536458333333333,0.6613681462140991
Confindr,campylobacter,0.03,220,6,0.697635950932097,0.7395833333333333,0.7179964198951541
Confindr,campylobacter,0.03,220,7,0.7184669832058383,0.796875,0.7552695631008883
Confindr,campylobacter,0.03,220,8,0.7191090092424635,0.8046875,0.7589559075239267
Confindr,campylobacter,0.03,220,9,0.7220072239422084,0.8098958333333333,0.7628427128427129
Confindr,campylobacter,0.03,220,10,0.7269061423776102,0.8098958333333333,0.7656108049179334
Confindr,campylobacter,0.04,120,1,0.050595238095238096,0.013020833333333332,0.020643782740556935
Confindr,campylobacter,0.04,120,2,0.21543778801843316,0.06510416666666666,0.09994919989839979
Confindr,campylobacter,0.04,120,3,0.4531135531135531,0.1953125,0.27242889850584295
Confindr,campylobacter,0.04,120,4,0.5751544571932922,0.3203125,0.4113705241890223
Confindr,campylobacter,0.04,120,5,0.652060606060606,0.4375,0.5235619425945399
Confindr,campylobacter,0.04,120,6,0.6921839080459771,0.53125,0.6010897669495201
Confindr,campylobacter,0.04,120,7,0.7331404628890663,0.6640625,0.6967205750224619
Confindr,campylobacter,0.04,120,8,0.7534958871915394,0.7239583333333333,0.7384304983351204
Confindr,campylobacter,0.04,120,9,0.7629574226432865,0.7552083333333333,0.75905785928195
Confindr,campylobacter,0.04,120,10,0.7695747087136056,0.78125,0.7753480452709245
Confindr,campylobacter,0.04,170,1,0.05277777777777778,0.013020833333333332,0.020815811606391926
Confindr,campylobacter,0.04,170,2,0.21514766592569068,0.06510416666666666,0.09943296554175216
Confindr,campylobacter,0.04,170,3,0.36586707746478875,0.12760416666666666,0.18911894011406843
Confindr,campylobacter,0.04,170,4,0.5333333333333333,0.25,0.3404255319148936
Confindr,campylobacter,0.04,170,5,0.6722941176470588,0.4583333333333333,0.5448372701392629
Confindr,campylobacter,0.04,170,6,0.7193312434691745,0.5833333333333334,0.6435761248119427
Confindr,campylobacter,0.04,170,7,0.7601249114673878,0.7005208333333334,0.7285817452948373
Confindr,campylobacter,0.04,170,8,0.7758680555555555,0.7526041666666666,0.7638608870967742
Confindr,campylobacter,0.04,170,9,0.7839317511361523,0.7916666666666666,0.7877331579265305
Confindr,campylobacter,0.04,170,10,0.7844720335907936,0.8020833333333333,0.793024611999841
Confindr,campylobacter,0.04,220,1,0.06135531135531135,0.015625,0.024787040916073172
Confindr,campylobacter,0.04,220,2,0.13211382113821138,0.036458333333333336,0.056849921656788614
Confindr,campylobacter,0.04,220,3,0.2528837622005324,0.078125,0.11875804836171125
Confindr,campylobacter,0.04,220,4,0.5180851063829788,0.24739583333333331,0.33484600505877105
Confindr,campylobacter,0.04,220,5,0.6713486353774123,0.46614583333333337,0.5499249463223698
Confindr,campylobacter,0.04,220,6,0.7226867335562988,0.6119791666666666,0.6597147950089126
Confindr,campylobacter,0.04,220,7,0.7691689321523576,0.7421875,0.7553496161505281
Confindr,campylobacter,0.04,220,8,0.7846145871131616,0.8020833333333333,0.7930975069912922
