batch,mrd,dp,average_f1
4,0.05,0.06,0.5946390525133578
4,0.05,0.08,0.5641378695757922
4,0.05,0.1,0.5358729346344553
4,0.05,0.12,0.4944428883033051
4,0.05,0.14,0.4930943021293217
4,0.05,0.16,0.45619029319445276
4,0.05,0.18,0.44168737397608687
4,0.05,0.2,0.40331985728166514
4,0.05,0.22,0.3895879777886558
4,0.05,0.24,0.36739498133268217
4,0.05,0.26,0.35799143106133985
4,0.05,0.28,0.35502900710992735
4,0.05,0.3,0.32029107448948124
4,0.05,0.32,0.3104419455788206
4,0.05,0.34,0.3056643749033768
4,0.05,0.36,0.29285643089576946
4,0.05,0.38,0.28270415005625166
4,0.05,0.4,0.27886102341925345
4,0.05,0.42,0.24955792426166395
4,0.05,0.44,0.24030774648371658
4,0.05,0.46,0.23321674661207856
4,0.05,0.48,0.2247421364142716
4,0.05,0.5,0.22391260236338306
4,0.05,0.52,0.21442867866596677
4,0.05,0.54,0.2081252081252081
4,0.05,0.56,0.2029266221405959
4,0.05,0.58,0.19929899771494047
5,0.01,0.1,0.3595528445820771
5,0.01,0.12,0.37659658232099175
5,0.01,0.14,0.3921278260694768
5,0.01,0.16,0.40634195922383004
5,0.01,0.18,0.42113571928645843
5,0.01,0.2,0.4370282688701668
5,0.01,0.22,0.44621934851641
5,0.01,0.24,0.46036314588527266
5,0.01,0.26,0.46681068084701316
5,0.01,0.28,0.4713625993028403
5,0.01,0.3,0.4776365332131867
5,0.01,0.32,0.48670527849997647
5,0.01,0.34,0.4932690366278913
5,0.01,0.36,0.49534382056688775
5,0.01,0.38,0.504322616180701
5,0.01,0.4,0.5032168405045485
5,0.01,0.42,0.5093544738833203
5,0.01,0.44,0.5112998062473247
5,0.01,0.46,0.5129816836412963
5,0.01,0.48,0.5115080440784611
5,0.01,0.5,0.5146301417190811
5,0.01,0.52,0.5201664894815289
5,0.01,0.54,0.522985356401807
5,0.01,0.56,0.5194749975498046
5,0.01,0.58,0.5178614230948783
5,0.02,0.1,0.605656172929157
5,0.02,0.12,0.6139091808268754
5,0.02,0.14,0.6280854716222848
5,0.02,0.16,0.6326057912062468
5,0.02,0.18,0.6268126024143799
5,0.02,0.2,0.6140332500116953
5,0.02,0.22,0.6168228788955247
5,0.02,0.24,0.6212389731307552
5,0.02,0.26,0.6137769524096729
5,0.02,0.28,0.6111185028393586
5,0.02,0.3,0.6157688051399044
5,0.02,0.32,0.6028030981575744
5,0.02,0.34,0.6052799376925305
5,0.02,0.36,0.6029348309692074
5,0.02,0.38,0.5850753678331803
5,0.02,0.4,0.5650868006560411
5,0.02,0.42,0.5628493540297034
5,0.02,0.44,0.5609693136550966
5,0.02,0.46,0.5507385850384395
5,0.02,0.48,0.5500389433162542
5,0.02,0.5,0.552976099669357
5,0.02,0.52,0.535398790584752
5,0.02,0.54,0.5281536269502063
5,0.02,0.56,0.5226821115078584
5,0.02,0.58,0.5181341662876774
5,0.03,0.01,0.6255070030186111
5,0.03,0.02,0.6442075437230456
5,0.03,0.06,0.6638496984884102
5,0.03,0.08,0.665731989524395
5,0.03,0.1,0.6567176975700423
5,0.03,0.12,0.6383544121389269
5,0.03,0.14,0.6437999317539421
5,0.03,0.16,0.6399136096500915
5,0.03,0.18,0.6316202370037766
5,0.03,0.2,0.6177302958357265
5,0.03,0.22,0.606570156309093
5,0.03,0.24,0.5867692150086613
5,0.03,0.26,0.5677831203492695
5,0.03,0.28,0.5586517474924118
5,0.03,0.3,0.5499482431999673
5,0.03,0.32,0.5341490879096078
5,0.03,0.34,0.5283924795171956
5,0.03,0.36,0.5078740572574233
5,0.03,0.38,0.4817256410359982
5,0.03,0.4,0.4728331924573282
