group,tool,mrd,depth,batch,precision,recall,f1score
group 1,NanoMGT,0.01,170,1,0.08926584359384054,0.20650406504065036,0.1242216616438154
group 1,NanoMGT,0.01,170,2,0.1734687328076288,0.4347786811201445,0.24646733646691588
group 1,NanoMGT,0.01,170,3,0.21702365999690745,0.6312556458897922,0.32076500309584266
group 1,NanoMGT,0.01,170,4,0.2676932108623229,0.729539295392954,0.38847044980385803
group 1,NanoMGT,0.01,170,5,0.29250762942172315,0.8020776874435411,0.42602571970781744
group 1,NanoMGT,0.01,170,6,0.2931681023788516,0.8653116531165312,0.43503127241395756
group 1,NanoMGT,0.01,170,7,0.3074374989146689,0.8834688346883468,0.4531592787926908
group 1,NanoMGT,0.01,170,8,0.3253041880580225,0.9056007226738934,0.477394082655897
group 1,NanoMGT,0.01,170,9,0.30650592124149756,0.9237579042457091,0.45803593024762745
group 1,NanoMGT,0.01,170,10,0.3040649591144966,0.9315266485998194,0.45663812587093267
group 1,NanoMGT,0.01,220,1,0.08744110701077909,0.20840108401084012,0.12257108441216286
group 1,NanoMGT,0.01,220,2,0.16305313013717085,0.38193315266485994,0.2263157635312869
group 1,NanoMGT,0.01,220,3,0.25218272815889853,0.6297199638663054,0.35726661586257513
group 1,NanoMGT,0.01,220,4,0.29222692933049466,0.7132791327913279,0.41249646567090786
group 1,NanoMGT,0.01,220,5,0.32165977060484696,0.779494128274616,0.45351293950647176
group 1,NanoMGT,0.01,220,6,0.3372377971356352,0.8608852755194218,0.48272688278463594
group 1,NanoMGT,0.01,220,7,0.34880431350178454,0.8757000903342367,0.49745940341178435
group 1,NanoMGT,0.01,220,8,0.3769095712046398,0.8993676603432701,0.5293115960382774
group 1,NanoMGT,0.01,220,9,0.3728101417889128,0.9318879855465222,0.5304171930327743
group 1,NanoMGT,0.01,220,10,0.37126038733101585,0.946702800361337,0.532236948600656
group 1,NanoMGT,0.02,120,1,0.0613580572927756,0.09918699186991865,0.0736366629067721
group 1,NanoMGT,0.02,120,2,0.1820712853016479,0.3897018970189702,0.24357402072309536
group 1,NanoMGT,0.02,120,3,0.2563288382944042,0.5717253839205059,0.3478590850784128
group 1,NanoMGT,0.02,120,4,0.3150745453377032,0.7259259259259259,0.4343050205463006
group 1,NanoMGT,0.02,120,5,0.340495592804977,0.7984643179765131,0.4719063911560697
group 1,NanoMGT,0.02,120,6,0.3597241901296523,0.9083107497741643,0.5105095354127783
group 1,NanoMGT,0.02,120,7,0.37075419833277634,0.9171635049683831,0.5246389440545113
