batch,mrd,pp,average_f1
2,0.04,0.5,0.21143937881038677
2,0.04,0.52,0.20987465222834584
2,0.04,0.54,0.2028120145260446
2,0.04,0.56,0.1992216625941705
2,0.04,0.58,0.19147055018279224
2,0.04,0.6,0.191310023026349
2,0.04,0.62,0.19273470374172946
2,0.04,0.64,0.19420099888849887
2,0.04,0.66,0.19420099888849887
2,0.04,0.68,0.19440670617141204
2,0.05,0.1,0.2280794140914777
2,0.05,0.12,0.22236503275644873
2,0.05,0.14,0.2192527682975716
2,0.05,0.16,0.2152533632932907
2,0.05,0.18,0.2152533632932907
2,0.05,0.2,0.2111880245544691
2,0.05,0.22,0.2115815760492474
2,0.05,0.24,0.21178060495404938
2,0.05,0.26,0.21198115898455866
2,0.05,0.28,0.20809742446878765
2,0.05,0.3,0.20487864420305818
2,0.05,0.32,0.20402490861705758
2,0.05,0.34,0.20402490861705758
2,0.05,0.36,0.20402490861705758
2,0.05,0.38,0.20588457408023403
2,0.05,0.4,0.1979628180624858
2,0.05,0.42,0.19816103326386814
2,0.05,0.44,0.19756979714962905
2,0.05,0.46,0.1872933120802822
2,0.05,0.48,0.18761307684323242
2,0.05,0.5,0.18761307684323242
2,0.05,0.52,0.18535743774548805
2,0.05,0.54,0.18224862498282368
2,0.05,0.56,0.17460941133245975
2,0.05,0.58,0.17460941133245975
2,0.05,0.6,0.17367144889648936
2,0.05,0.62,0.1721344537815126
2,0.05,0.64,0.17253998373542964
2,0.05,0.66,0.17253998373542964
2,0.05,0.68,0.17253998373542964
3,0.01,0.2,0.37405092630856396
3,0.01,0.22,0.3740156247818725
3,0.01,0.24,0.3741200752220946
3,0.01,0.26,0.37344603219757605
3,0.01,0.28,0.3762836358649765
3,0.01,0.3,0.3780173685768803
3,0.01,0.32,0.3788633961593463
3,0.01,0.34,0.3836799532738354
3,0.01,0.36,0.3842598392666927
3,0.01,0.38,0.38316589564750575
3,0.01,0.4,0.3815201782105482
3,0.01,0.42,0.3793156535540575
3,0.01,0.44,0.3791069098970322
3,0.01,0.46,0.3803643806508477
3,0.01,0.48,0.38131300545281127
3,0.01,0.5,0.38284076165305114
3,0.01,0.52,0.38079198212684895
3,0.01,0.54,0.3827196217145655
3,0.01,0.56,0.38016430528401074
3,0.01,0.58,0.38108195764673275
3,0.01,0.6,0.38301588515038343
3,0.01,0.62,0.3833364094903167
3,0.01,0.64,0.38312109848452475
3,0.01,0.66,0.3848555583837724
3,0.01,0.68,0.3890232637604128
3,0.02,0.2,0.4130067777174059
3,0.02,0.22,0.4059449845302793
3,0.02,0.24,0.4063251955636139
3,0.02,0.26,0.4064702482617273
3,0.02,0.28,0.40778543985678345
3,0.02,0.3,0.40778543985678345
3,0.02,0.32,0.40514759357359964
3,0.02,0.34,0.4038925903535079
3,0.02,0.36,0.4038162686630848
3,0.02,0.38,0.4004641469303123
3,0.02,0.4,0.4008657997380617
3,0.02,0.42,0.39579716518810965
3,0.02,0.44,0.39771581363475805
3,0.02,0.46,0.3998081657271101
3,0.02,0.48,0.4002017574324967
3,0.02,0.5,0.40170583304609203
3,0.02,0.52,0.40075285447769043
3,0.02,0.54,0.40066704679694604
3,0.02,0.56,0.3962448074431998
3,0.02,0.58,0.3946518104035608
3,0.02,0.6,0.3904712208692106
3,0.02,0.62,0.39113448460428035
3,0.02,0.64,0.39045797409644084
3,0.02,0.66,0.39248808144017694
3,0.02,0.68,0.39393175886511006
3,0.03,0.2,0.38090259784564623
