tool,specie,sequencing_id,maf,depth,batch,precision,recall,f1score
Confindr,klebsiella_pneumoniae,ERR8958737,0.03,220,7,0.3409090909090909,1.0,0.5084745762711864
Confindr,klebsiella_pneumoniae,ERR8958737,0.03,220,8,0.3488372093023256,1.0,0.5172413793103449
Confindr,klebsiella_pneumoniae,ERR8958737,0.03,220,9,0.3488372093023256,1.0,0.5172413793103449
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,10,0.6521739130434783,1.0,0.7894736842105263
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,1,0.0,0.0,0.0
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,2,0.25,0.13333333333333333,0.1739130434782609
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,3,0.3333333333333333,0.2,0.25
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,4,0.6842105263157895,0.8666666666666667,0.7647058823529413
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,5,0.7142857142857143,1.0,0.8333333333333333
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,6,0.7142857142857143,1.0,0.8333333333333333
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,7,0.7142857142857143,1.0,0.8333333333333333
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,8,0.75,1.0,0.8571428571428571
Confindr,klebsiella_pneumoniae,SRR27348733,0.03,220,9,0.6818181818181818,1.0,0.8108108108108109
Confindr,salmonella_enterica,SRR27136088,0.03,220,10,0.43157894736842106,0.9111111111111111,0.5857142857142857
Confindr,salmonella_enterica,SRR27136088,0.03,220,1,0.08064516129032258,0.1111111111111111,0.09345794392523366
Confindr,salmonella_enterica,SRR27136088,0.03,220,2,0.19402985074626866,0.28888888888888886,0.23214285714285715
Confindr,salmonella_enterica,SRR27136088,0.03,220,3,0.345679012345679,0.6222222222222222,0.4444444444444444
Confindr,salmonella_enterica,SRR27136088,0.03,220,4,0.4235294117647059,0.8,0.5538461538461539
Confindr,salmonella_enterica,SRR27136088,0.03,220,5,0.42391304347826086,0.8666666666666667,0.5693430656934306
Confindr,salmonella_enterica,SRR27136088,0.03,220,6,0.42105263157894735,0.8888888888888888,0.5714285714285714
Confindr,salmonella_enterica,SRR27136088,0.03,220,7,0.44086021505376344,0.9111111111111111,0.5942028985507247
Confindr,salmonella_enterica,SRR27136088,0.03,220,8,0.422680412371134,0.9111111111111111,0.5774647887323944
Confindr,salmonella_enterica,SRR27136088,0.03,220,9,0.422680412371134,0.9111111111111111,0.5774647887323944
Confindr,salmonella_enterica,SRR27755678,0.03,220,10,0.6307692307692307,0.9111111111111111,0.7454545454545455
Confindr,salmonella_enterica,SRR27755678,0.03,220,1,0.37037037037037035,0.2222222222222222,0.27777777777777773
Confindr,salmonella_enterica,SRR27755678,0.03,220,2,0.6326530612244898,0.6888888888888889,0.6595744680851063
Confindr,salmonella_enterica,SRR27755678,0.03,220,3,0.6666666666666666,0.8,0.7272727272727272
Confindr,salmonella_enterica,SRR27755678,0.03,220,4,0.6610169491525424,0.8666666666666667,0.7500000000000001
Confindr,salmonella_enterica,SRR27755678,0.03,220,5,0.6774193548387096,0.9333333333333333,0.7850467289719625
Confindr,salmonella_enterica,SRR27755678,0.03,220,6,0.6666666666666666,0.9333333333333333,0.7777777777777778
Confindr,salmonella_enterica,SRR27755678,0.03,220,7,0.65625,0.9333333333333333,0.7706422018348624
Confindr,salmonella_enterica,SRR27755678,0.03,220,8,0.6666666666666666,0.9333333333333333,0.7777777777777778
Confindr,salmonella_enterica,SRR27755678,0.03,220,9,0.6212121212121212,0.9111111111111111,0.7387387387387386
Confindr,salmonella_enterica,SRR28399428,0.03,220,10,0.43617021276595747,0.9111111111111111,0.5899280575539569
Confindr,salmonella_enterica,SRR28399428,0.03,220,1,0.03225806451612903,0.044444444444444446,0.037383177570093455
