batch,mrd,np,average_f1
2,0.01,1.0,0.19981065947844073
2,0.01,1.1,0.20876599088356837
2,0.01,1.2,0.21492904456302425
2,0.01,1.3,0.21814141124819295
2,0.01,1.4,0.22143878696803979
2,0.01,1.5,0.2255243958408319
2,0.01,1.6,0.22725011438258821
2,0.01,1.7,0.2305035119781191
2,0.01,1.8,0.23310676745109263
2,0.01,1.9,0.23577476052645788
2,0.01,2.0,0.23789828725575973
2,0.01,2.1,0.2409093072777573
2,0.01,2.2,0.2418199661630346
2,0.01,2.3,0.24350309255932925
2,0.01,2.4,0.24524049624672098
2,0.01,2.5,0.24694239504701132
2,0.01,2.6,0.24941175284970765
2,0.01,2.7,0.25093398934998296
2,0.01,2.8,0.25271126184011206
2,0.01,2.9,0.25383835850630626
2,0.01,3.0,0.2554141629100731
2,0.01,3.1,0.2561295771242609
2,0.01,3.2,0.2574519592707093
2,0.01,3.3,0.2586087724773783
2,0.01,3.4,0.2592372966266771
2,0.01,3.5,0.2595231100607517
2,0.01,3.6,0.26105199028411
2,0.01,3.7,0.26153169115272695
2,0.01,3.8,0.262312083543395
2,0.01,3.9,0.2633977557305279
2,0.02,1.0,0.22872163640788098
2,0.02,1.1,0.23107974069546153
2,0.02,1.2,0.23344769323101724
2,0.02,1.3,0.23574849937803627
2,0.02,1.4,0.23647383521702678
2,0.02,1.5,0.23802253827968747
2,0.02,1.6,0.23894862557864247
2,0.02,1.7,0.23969527555305664
2,0.02,1.8,0.24034590646788315
2,0.02,1.9,0.240970892560964
2,0.02,2.0,0.24151051895989553
2,0.02,2.1,0.24218519830726495
2,0.02,2.2,0.24318039710430134
2,0.02,2.3,0.244244838991528
2,0.02,2.4,0.24509450250850556
2,0.02,2.5,0.24522227456316004
2,0.02,2.6,0.2453510073099548
2,0.02,2.7,0.2453510073099548
2,0.02,2.8,0.24570413281773912
2,0.02,2.9,0.24615325906304372
2,0.02,3.0,0.24675808601125207
2,0.02,3.1,0.24702245268783246
2,0.02,3.2,0.24727113094253053
2,0.02,3.3,0.24763259143815225
2,0.02,3.4,0.2495905728040671
2,0.02,3.5,0.2495905728040671
2,0.02,3.6,0.2495905728040671
2,0.02,3.7,0.2501195800338326
2,0.02,3.8,0.2504871379373292
2,0.02,3.9,0.2511651875875542
2,0.03,1.0,0.22035498874230686
2,0.03,1.1,0.22035498874230686
2,0.03,1.2,0.22243106346414226
