batch,mrd,cor,average_f1
1,0.04,0.53,0.0794295280580035
1,0.04,0.56,0.09313504599496994
1,0.04,0.59,0.10891322046059801
1,0.04,0.62,0.10866452985984242
1,0.04,0.65,0.1133305387912494
1,0.04,0.68,0.11329860256151292
1,0.04,0.71,0.12145876527468742
1,0.04,0.74,0.12575341506452745
1,0.04,0.77,0.12668469937768526
1,0.04,0.8,0.13161686228110878
1,0.04,0.83,0.1297707750237239
1,0.04,0.86,0.13243941593141845
1,0.04,0.89,0.1354043010819274
1,0.04,0.92,0.13861855146483065
1,0.04,0.95,0.13853706939960309
1,0.04,0.98,0.14012659285604329
1,0.04,1.01,0.14296526799470052
1,0.04,1.04,0.14419726573603978
1,0.04,1.07,0.1401076000160765
1,0.05,0.35,0.01085363483625553
1,0.05,0.38,0.01085363483625553
1,0.05,0.41,0.010846998960054444
1,0.05,0.44,0.010846998960054444
1,0.05,0.47,0.013535661008906059
1,0.05,0.5,0.0349227877777993
1,0.05,0.53,0.0467338379899956
1,0.05,0.56,0.06978616211374829
1,0.05,0.59,0.07293092464994233
1,0.05,0.62,0.07481659330398824
1,0.05,0.65,0.10815824648496686
1,0.05,0.68,0.1127503814102403
1,0.05,0.71,0.11220372206853753
1,0.05,0.74,0.11722709235036531
1,0.05,0.77,0.12562901121253522
1,0.05,0.8,0.12460561127461697
1,0.05,0.83,0.1272091391202631
1,0.05,0.86,0.1281897822657971
1,0.05,0.89,0.12785275994163584
1,0.05,0.92,0.13363264905314018
1,0.05,0.95,0.14102134270201494
1,0.05,0.98,0.1399683416490139
1,0.05,1.01,0.1433568668704232
1,0.05,1.04,0.14468972742811856
1,0.05,1.07,0.14723624458137732
2,0.01,0.2,0.2551213058928924
2,0.01,0.23,0.25385632130966357
2,0.01,0.26,0.2587079026257599
2,0.01,0.29,0.2578461683015313
2,0.01,0.32,0.2576170906880075
2,0.01,0.35,0.25901243872238716
2,0.01,0.38,0.2586087724773783
2,0.01,0.41,0.25795557985450107
2,0.01,0.44,0.26129907283089404
2,0.01,0.47,0.2602522312426188
2,0.01,0.5,0.261944413780838
2,0.01,0.53,0.2630446952477025
2,0.01,0.56,0.26276490095277816
2,0.01,0.59,0.26287294469728334
2,0.01,0.62,0.2653992146680833
2,0.01,0.65,0.2655866955586435
2,0.01,0.68,0.2640699217068144
2,0.01,0.71,0.2640175061616749
2,0.01,0.74,0.2642790516080212
2,0.01,0.77,0.2622690573337031
2,0.01,0.8,0.2603617837201372
2,0.01,0.83,0.2593279701424501
2,0.01,0.86,0.2588126608612159
2,0.01,0.89,0.2575117757263847
2,0.01,0.92,0.2565160908590039
2,0.02,0.2,0.21997299101085915
2,0.02,0.23,0.22286600117058888
2,0.02,0.26,0.2266655420835824
2,0.02,0.29,0.23242014408650927
2,0.02,0.32,0.23807394821011
2,0.02,0.35,0.23954486845243145
2,0.02,0.38,0.24327442824539133
2,0.02,0.41,0.24687767932621885
2,0.02,0.44,0.24624988531524686
2,0.02,0.47,0.2457734542086798
