tool,maf,batch,depth,precision,recall,f1score
NanoMGT,0.01,6,220,0.40995699815955444,0.7890416102077686,0.524305388159632
NanoMGT,0.01,7,120,0.341850465234763,0.7987700429087623,0.4650283114513993
NanoMGT,0.01,7,170,0.3729951787282703,0.8198458672086721,0.497736065374044
NanoMGT,0.01,7,220,0.4343825284512521,0.8695508694670281,0.5686908004786714
NanoMGT,0.01,8,120,0.35894738708482193,0.8275717028003614,0.48719858341921396
NanoMGT,0.01,8,170,0.3768556398497753,0.8547402890695575,0.507202238222014
NanoMGT,0.01,8,220,0.447591799404763,0.8517262308039747,0.5748811249282422
NanoMGT,0.01,9,120,0.35908331958641676,0.8587053974706415,0.49272842614048307
NanoMGT,0.01,9,170,0.3699021225272231,0.8801281616982838,0.5021036291796568
NanoMGT,0.01,9,220,0.4535879720574657,0.8604635275519422,0.5770399386893059
NanoMGT,0.01,10,120,0.35551208329592743,0.8628949299909665,0.4885889216381667
NanoMGT,0.01,10,170,0.366686146854608,0.8929231594399278,0.5017198294102281
NanoMGT,0.01,10,220,0.4627204944826596,0.9138894534778681,0.6014597863906792
NanoMGT,0.02,1,120,0.10510594280591708,0.12144563008130078,0.10673001290794404
NanoMGT,0.02,1,170,0.16207498423291844,0.16452969738030707,0.15324550562132538
NanoMGT,0.02,1,220,0.21395176955279255,0.1353520212285456,0.14294233605972292
NanoMGT,0.02,2,120,0.2349626408299355,0.3474432588075881,0.26711316281411207
NanoMGT,0.02,2,170,0.29013667288480216,0.33006521002710026,0.29248481318392805
NanoMGT,0.02,2,220,0.3475986276253894,0.25743930668473347,0.26473274361234517
NanoMGT,0.02,3,120,0.33561583556350777,0.5507734869015357,0.4030942887764425
NanoMGT,0.02,3,170,0.3722804431649468,0.4902464430894309,0.4044313009224032
NanoMGT,0.02,3,220,0.468392075666294,0.40583785004516704,0.3985976913367102
NanoMGT,0.02,4,120,0.388159086414773,0.6815162037037037,0.481278627856532
NanoMGT,0.02,4,170,0.4323357053028548,0.605359078590786,0.48581896263578395
NanoMGT,0.02,4,220,0.5327794098336214,0.5280055894308944,0.4994040033079288
NanoMGT,0.02,5,120,0.4180505138519752,0.766677393857272,0.5271238386173015
NanoMGT,0.02,5,170,0.49111013368945444,0.7323944218608853,0.5715456776841153
NanoMGT,0.02,5,220,0.5932146934569034,0.6620658310749774,0.6038294620034229
NanoMGT,0.02,6,120,0.4381946279488028,0.8484284665763324,0.5645837989921061
NanoMGT,0.02,6,170,0.5144911295430955,0.8245404245709125,0.6197869644503273
NanoMGT,0.02,6,220,0.6219115750608698,0.7496863708220416,0.6616050202402755
NanoMGT,0.02,7,120,0.4642459350995277,0.8944695686540198,0.5985883457626987
NanoMGT,0.02,7,170,0.5243950170342703,0.86455679765131,0.6411011420318098
NanoMGT,0.02,7,220,0.652701025576675,0.8009761743450767,0.7040880525941373
NanoMGT,0.02,8,120,0.4612734736358776,0.9322527100271003,0.6052173912113388
NanoMGT,0.02,8,170,0.5335284485675487,0.9147871499548328,0.6632352165706858
NanoMGT,0.02,8,220,0.66632325975917,0.8506744015356821,0.7354323154465249
NanoMGT,0.02,9,120,0.4570730691727576,0.9321310411020777,0.5996276547234787
NanoMGT,0.02,9,170,0.5409800093440934,0.9303771454381209,0.6734017251140081
NanoMGT,0.02,9,220,0.678202445611882,0.8798574412827463,0.7557296464308256
NanoMGT,0.02,10,120,0.4613131991256223,0.9600705736224029,0.611905041241234
NanoMGT,0.02,10,170,0.5442211043499585,0.9523269534778681,0.6802216167991866
NanoMGT,0.02,10,220,0.6842616048567421,0.9153133468834689,0.7733169811161245
NanoMGT,0.03,1,120,0.10065975534957042,0.09754516711833781,0.09366744435224232
NanoMGT,0.03,1,170,0.16552142373383344,0.12040989159891594,0.13181100486558459
NanoMGT,0.03,1,220,0.16932419559177583,0.0968973012646793,0.11383871927328122
NanoMGT,0.03,2,120,0.24572495066504446,0.2949438233965673,0.2525011396717871
NanoMGT,0.03,2,170,0.3274337665063919,0.27289634146341457,0.27777435275736073
NanoMGT,0.03,2,220,0.37293164324872524,0.24018800813008126,0.26259309359231786
NanoMGT,0.03,3,120,0.3735606729705311,0.5127941508581753,0.41545485858322745
NanoMGT,0.03,3,170,0.4404519084509486,0.450380815266486,0.42261409900287045
NanoMGT,0.03,3,220,0.499005642263236,0.375034157633243,0.3878177097529288
NanoMGT,0.03,4,120,0.4293841915608299,0.6543174119241193,0.5032087291574475
NanoMGT,0.03,4,170,0.5172976463937994,0.589422143179765,0.5289756677529042
NanoMGT,0.03,4,220,0.5908658122620327,0.5517841011743452,0.5418952869864702
NanoMGT,0.03,5,120,0.4687090869964936,0.7685066621499549,0.5666251985860442
NanoMGT,0.03,5,170,0.5783024321014023,0.743784157633243,0.6359385781516942
NanoMGT,0.03,5,220,0.6423163176412663,0.6932585252935862,0.64573904885408
NanoMGT,0.03,6,120,0.48592294722765345,0.8338287601626015,0.6012343582416448
NanoMGT,0.03,6,170,0.6012129620797453,0.8155366418247516,0.6788804287207538
NanoMGT,0.03,6,220,0.6544818550653478,0.7624638663053297,0.6881331653645159
NanoMGT,0.03,7,120,0.5131496067643331,0.8899909665763325,0.6380297600180611
NanoMGT,0.03,7,170,0.6127111116862125,0.8740421747967482,0.708087100820002
NanoMGT,0.03,7,220,0.6814002253683216,0.8350446025293585,0.7380858605089399
NanoMGT,0.03,8,120,0.5258616474765241,0.9325423441734417,0.6601044942297822
NanoMGT,0.03,8,170,0.6209434485948802,0.9073455849141825,0.7254077395872516
NanoMGT,0.03,8,220,0.6971167621272008,0.8711836607949414,0.7627726646666867
NanoMGT,0.03,9,120,0.5250706350524027,0.9532133581752484,0.6654248123638022
NanoMGT,0.03,9,170,0.6355247664204529,0.940313911472448,0.7474917804580956
NanoMGT,0.03,9,220,0.7044335713657297,0.9039312330623307,0.7816005370741205
NanoMGT,0.03,10,120,0.5284877340603067,0.9613846544715446,0.6707165031905707
NanoMGT,0.03,10,170,0.638514343379105,0.9562855691056911,0.7534135774771503
NanoMGT,0.03,10,220,0.7123297301522629,0.9396942750677507,0.8013094825410192
NanoMGT,0.04,1,120,0.10960105846427375,0.07784072944896112,0.08502165957857957
NanoMGT,0.04,1,170,0.16907158505391517,0.1051498983739837,0.12323402152944843
NanoMGT,0.04,1,220,0.17157043072484246,0.10283451897018966,0.1200662163818105
NanoMGT,0.04,2,120,0.26519313776290293,0.27348040876242097,0.25418321004412797
NanoMGT,0.04,2,170,0.33349703557938926,0.2829248532068654,0.2837258683737901
NanoMGT,0.04,2,220,0.39885353424142594,0.2609103997289973,0.27492333259941615
NanoMGT,0.04,3,120,0.39569776648853344,0.4864182475158085,0.41903311405927124
NanoMGT,0.04,3,170,0.42788502727831024,0.4330372064137308,0.39888576774399326
