tool,specie,maf,batch,precision,recall,f1score
Confindr,klebsiella,0.03,2,0.1447987408036219,0.18888888888888888,0.14328801690841264
Confindr,klebsiella,0.03,3,0.2789385322280059,0.4222222222222222,0.29992118720513955
Confindr,klebsiella,0.03,4,0.4237015616070193,0.7222222222222223,0.5031769732158509
Confindr,klebsiella,0.03,5,0.46997970882410245,0.8888888888888888,0.5933555626859236
Confindr,klebsiella,0.03,6,0.5202254562087728,1.0,0.6658445678632522
Confindr,klebsiella,0.03,7,0.516189236708855,1.0,0.6627447218583645
Confindr,klebsiella,0.03,8,0.5249873609706776,1.0,0.6697974862898549
Confindr,klebsiella,0.03,9,0.5088790731232592,1.0,0.6594733448181724
Confindr,klebsiella,0.03,10,0.4896815141380358,1.0,0.6455097305818569
Confindr,klebsiella,0.04,1,0.024242424242424232,0.0333333333333333,0.028056628056628036
Confindr,klebsiella,0.04,2,0.05606237816764129,0.07777777777777774,0.06480986333927509
Confindr,klebsiella,0.04,3,0.32278244631185804,0.2111111111111111,0.21803402239448752
Confindr,klebsiella,0.04,4,0.5087460848330413,0.4444444444444444,0.41224036152264626
Confindr,klebsiella,0.04,5,0.5749559082892416,0.6111111111111112,0.5344621159838551
Confindr,klebsiella,0.04,6,0.6457767722473605,0.8888888888888888,0.7217070333880677
Confindr,klebsiella,0.04,7,0.6809197817057857,0.9777777777777777,0.7827447865754317
Confindr,klebsiella,0.04,8,0.6825530007828903,1.0,0.795729599580936
Confindr,klebsiella,0.04,9,0.688151979807203,1.0,0.8006849791625229
Confindr,klebsiella,0.04,10,0.6797767906510809,1.0,0.7958326770718488
Confindr,klebsiella,0.05,1,0.0,0.0,0.0
Confindr,klebsiella,0.05,2,0.0769230769230769,0.0666666666666666,0.0714285714285714
Confindr,klebsiella,0.05,3,0.20156695156695156,0.1333333333333333,0.13881579567854072
Confindr,klebsiella,0.05,4,0.4736467236467236,0.25555555555555554,0.28629022050074676
Confindr,klebsiella,0.05,5,0.5786828181565024,0.39999999999999997,0.41873072461307753
Confindr,klebsiella,0.05,6,0.6678571428571428,0.6222222222222222,0.5957224757224758
Confindr,klebsiella,0.05,7,0.7200156385482472,0.8333333333333334,0.7482995122214137
Confindr,klebsiella,0.05,8,0.7503205128205129,0.9666666666666667,0.8336344287760497
Confindr,klebsiella,0.05,9,0.7753205128205128,1.0,0.8611985313401521
Confindr,klebsiella,0.05,10,0.7687500000000002,1.0,0.8588709677419355
Confindr,salmonella,0.01,1,0.11767440735038244,0.2962962962962963,0.16201473401166142
Confindr,salmonella,0.01,2,0.219473470223535,0.6222222222222222,0.3141193152252488
Confindr,salmonella,0.01,3,0.2587174176920727,0.7876543209876542,0.3777656153924051
Confindr,salmonella,0.01,4,0.2696910058804044,0.854320987654321,0.3999272022015479
Confindr,salmonella,0.01,5,0.2743095262455946,0.8962962962962963,0.4113249660642213
Confindr,salmonella,0.01,6,0.2773620633341967,0.911111111111111,0.41711987361172337
Confindr,salmonella,0.01,7,0.2778491074857972,0.9160493827160493,0.418287370876082
Confindr,salmonella,0.01,8,0.2774916491025529,0.9160493827160493,0.41777169097879324
Confindr,salmonella,0.01,9,0.2713936507973845,0.9111111111111111,0.4110729513615991
Confindr,salmonella,0.01,10,0.26823584498885905,0.908641975308642,0.4079299111273336
Confindr,salmonella,0.02,1,0.11786680746905857,0.24691358024691357,0.15696718423450873
Confindr,salmonella,0.02,2,0.23472442231037224,0.562962962962963,0.3266474942945531
Confindr,salmonella,0.02,3,0.2900949027255735,0.762962962962963,0.41394586329595245
Confindr,salmonella,0.02,4,0.3070502583775547,0.8469135802469135,0.4452541877310434
